"siteid","treatmentid","v_year_measure","replicate","speciesid","speciesorigin","response","responselevel","responsemetric","measurementscale","measurementmetric"
62,"1_62",2007,13,"Bro_ste","exotic",55.3,"species","cover","1","m2"
62,"1_62",2007,13,"G_Bro_spp","exotic",55.3,"species","cover","1","m2"
62,"1_62",2007,2,"Ant_odo","exotic",50,"species","cover","1","m2"
62,"1_62",2007,10,"Bro_ste","exotic",45,"species","cover","1","m2"
62,"1_62",2007,10,"G_Bro_spp","exotic",45,"species","cover","1","m2"
62,"1_62",2007,7,"Dac_glo","exotic",28.5,"species","cover","1","m2"
62,"1_62",2007,6,"Bro_ste","exotic",28,"species","cover","1","m2"
62,"1_62",2007,6,"G_Bro_spp","exotic",28,"species","cover","1","m2"
62,"1_62",2007,9,"Bro_ste","exotic",22.8,"species","cover","1","m2"
62,"1_62",2007,9,"G_Bro_spp","exotic",22.8,"species","cover","1","m2"
62,"1_62",2007,2,"Air_pra","exotic",22,"species","cover","1","m2"
62,"1_62",2007,16,"Bro_ste","exotic",16.3,"species","cover","1","m2"
62,"1_62",2007,16,"G_Bro_spp","exotic",16.3,"species","cover","1","m2"
62,"1_62",2007,3,"Air_pra","exotic",15,"species","cover","1","m2"
62,"1_62",2007,8,"Bro_ste","exotic",10.7,"species","cover","1","m2"
62,"1_62",2007,8,"G_Bro_spp","exotic",10.7,"species","cover","1","m2"
62,"1_62",2007,11,"Ant_odo","exotic",10.1,"species","cover","1","m2"
62,"1_62",2007,7,"Bro_rig","exotic",9.9,"species","cover","1","m2"
62,"1_62",2007,15,"Bro_hor","exotic",8.1,"species","cover","1","m2"
62,"1_62",2007,12,"Hyp_rad","exotic",7.2,"species","cover","1","m2"
62,"1_62",2007,7,"Bro_ste","exotic",7,"species","cover","1","m2"
62,"1_62",2007,7,"G_Bro_spp","exotic",7,"species","cover","1","m2"
62,"1_62",2007,5,"Ste_med","exotic",6.5,"species","cover","1","m2"
62,"1_62",2007,8,"Dac_glo","exotic",6.4,"species","cover","1","m2"
62,"1_62",2007,3,"Ant_odo","exotic",6,"species","cover","1","m2"
62,"1_62",2007,3,"Rum_ace","exotic",5.9,"species","cover","1","m2"
62,"1_62",2007,10,"Ant_odo","exotic",5.5,"species","cover","1","m2"
62,"1_62",2007,6,"Ger_dis","exotic",4.6,"species","cover","1","m2"
62,"1_62",2007,16,"Bro_hor","exotic",4.6,"species","cover","1","m2"
62,"1_62",2007,10,"Bro_hor","exotic",4.4,"species","cover","1","m2"
