"siteid","treatmentid","v_year_measure","replicate","speciesid","speciesorigin","response","responselevel","responsemetric","measurementscale","measurementmetric"
62,"1_62",2007,8,"Cam_lei","native",75,"species","cover","1","m2"
62,"1_62",2007,12,"Cam_qua","native",56.9,"species","cover","1","m2"
62,"1_62",2007,15,"Cam_qua","native",48,"species","cover","1","m2"
62,"1_62",2007,14,"Cam_qua","native",47.3,"species","cover","1","m2"
62,"1_62",2007,5,"Pol_gly","native",43,"species","cover","1","m2"
62,"1_62",2007,9,"Cam_lei","native",39,"species","cover","1","m2"
62,"1_62",2007,4,"Cam_qua","native",36.8,"species","cover","1","m2"
62,"1_62",2007,6,"Cam_lei","native",36,"species","cover","1","m2"
62,"1_62",2007,4,"Pol_gly","native",35.1,"species","cover","1","m2"
62,"1_62",2007,11,"Pol_gly","native",32,"species","cover","1","m2"
62,"1_62",2007,6,"Ely_gla","native",30,"species","cover","1","m2"
62,"1_62",2007,5,"Cam_qua","native",28.9,"species","cover","1","m2"
62,"1_62",2007,13,"Lom_utr","native",26,"species","cover","1","m2"
62,"1_62",2007,13,"Cam_qua","native",20.5,"species","cover","1","m2"
62,"1_62",2007,16,"Cam_qua","native",18.2,"species","cover","1","m2"
62,"1_62",2007,7,"Cam_qua","native",17.1,"species","cover","1","m2"
62,"1_62",2007,10,"Cam_qua","native",15.9,"species","cover","1","m2"
62,"1_62",2007,14,"Bro_cor_a","native",15.2,"species","cover","1","m2"
62,"1_62",2007,7,"San_cra","native",11.2,"species","cover","1","m2"
62,"1_62",2007,4,"Tri_hya","native",9.8,"species","cover","1","m2"
62,"1_62",2007,9,"Lom_utr","native",9.4,"species","cover","1","m2"
62,"1_62",2007,16,"Sym_alb","native",8.7,"species","cover","1","m2"
62,"1_62",2007,15,"Bro_cor_a","native",6.6,"species","cover","1","m2"
62,"1_62",2007,16,"Bro_cor_a","native",6.2,"species","cover","1","m2"
62,"1_62",2007,6,"Sym_alb","native",4.8,"species","cover","1","m2"
62,"1_62",2007,8,"Cla_per","native",4.8,"species","cover","1","m2"
62,"1_62",2007,16,"Tri_hya","native",4.3,"species","cover","1","m2"
62,"1_62",2007,4,"Bro_cor_a","native",3.8,"species","cover","1","m2"
62,"1_62",2007,14,"Tri_hya","native",3.5,"species","cover","1","m2"
62,"1_62",2007,4,"Sym_alb","native",3.1,"species","cover","1","m2"
62,"1_62",2007,9,"Pol_gly","native",2.8,"species","cover","1","m2"
62,"1_62",2007,5,"Ely_gla","native",2.7,"species","cover","1","m2"
62,"1_62",2007,6,"Gal_apa","native",2.4,"species","cover","1","m2"
62,"1_62",2007,12,"Alli_acu","native",2,"species","cover","1","m2"
62,"1_62",2007,12,"Pol_gly","native",1.9,"species","cover","1","m2"
62,"1_62",2007,12,"Ely_gla","native",1.5,"species","cover","1","m2"
62,"1_62",2007,7,"Ery_ore","native",1.4,"species","cover","1","m2"
62,"1_62",2007,9,"Ery_als","native",1.4,"species","cover","1","m2"
62,"1_62",2007,12,"Bro_cor_a","native",1.2,"species","cover","1","m2"
62,"1_62",2007,15,"Tri_hya","native",1.2,"species","cover","1","m2"
62,"1_62",2007,12,"G_Pip_spp_a","native",1,"species","cover","1","m2"
62,"1_62",2007,9,"Ely_gla","native",0.9,"species","cover","1","m2"
62,"1_62",2007,2,"Cam_qua","native",0.8,"species","cover","1","m2"
62,"1_62",2007,16,"Ely_gla","native",0.8,"species","cover","1","m2"
62,"1_62",2007,7,"Gal_apa","native",0.7,"species","cover","1","m2"
62,"1_62",2007,16,"Fri_aff","native",0.6,"species","cover","1","m2"
62,"1_62",2007,9,"Oro_uni","native",0.5,"species","cover","1","m2"
62,"1_62",2007,12,"Cla_per","native",0.5,"species","cover","1","m2"
62,"1_62",2007,5,"Gal_apa","native",0.4,"species","cover","1","m2"
62,"1_62",2007,10,"Cla_per","native",0.4,"species","cover","1","m2"
62,"1_62",2007,13,"San_cra","native",0.4,"species","cover","1","m2"
62,"1_62",2007,15,"G_Pip_spp_a","native",0.4,"species","cover","1","m2"
62,"1_62",2007,9,"Col_par","native",0.3,"species","cover","1","m2"
62,"1_62",2007,9,"Mic_int","native",0.3,"species","cover","1","m2"
62,"1_62",2007,9,"Ols_dou","native",0.3,"species","cover","1","m2"
62,"1_62",2007,13,"Vic_ame","native",0.3,"species","cover","1","m2"
62,"1_62",2007,8,"Ery_ore","native",0.2,"species","cover","1","m2"
62,"1_62",2007,8,"Que_gar","native",0.2,"species","cover","1","m2"
62,"1_62",2007,9,"Cer_arv","native",0.2,"species","cover","1","m2"
62,"1_62",2007,10,"Bro_cor_a","native",0.2,"species","cover","1","m2"
62,"1_62",2007,10,"Tri_hya","native",0.2,"species","cover","1","m2"
62,"1_62",2007,12,"Luz_mul","native",0.2,"species","cover","1","m2"
62,"1_62",2007,4,"Gal_apa","native",0.1,"species","cover","1","m2"
62,"1_62",2007,9,"Del_men","native",0.1,"species","cover","1","m2"
62,"1_62",2007,12,"Tri_hya","native",0.1,"species","cover","1","m2"
