"siteid","projectid","Site","Subregion","latitude","longitude","refecosystem","landcover","elevation","aspect","slope","temp","precip","disturbance"
1,1,"Albert Head","C-SP",48.3911096,-123.4899215,"garry oak meadow","w",47,6.223422501,0.02425939,10.3,810,"none"
2,1,"Alec Rocks 1","US-GI",48.42301275,-122.8506057,"garry oak meadow","w",2,0.981800976,0.015694647,9.9,585,"none"
3,1,"Alec Rocks 2","US-GI",48.42247349,-122.8496832,"garry oak meadow","w",2,0.981800976,0.015694647,9.9,585,"none"
4,1,"Amelia Island","C-EVII",49.30285996,-124.1522305,"garry oak meadow","w",6,1.239604358,0.032946056,9.1,1284,"none"
5,1,"Battleship Island","US-GI",48.62452703,-123.1853406,"garry oak meadow","w",-37,5.379570982,0.180159967,10.1,702,"none"
6,1,"Bear Hill A","C-SP",48.54630749,-123.4054432,"garry oak meadow","tc4",195,0.322988666,0.260333354,9.8,890,"none"
7,1,"Bear Hill B","C-SP",48.54609661,-123.4087617,"garry oak meadow","csgo",154,5.268862052,0.25203843,9.8,890,"none"
8,1,"Bear Hill C","C-SP",48.54574213,-123.4107735,"garry oak meadow","csgo",122,5.090687926,0.169345894,9.8,890,"none"
9,1,"Boulder Island","US-GI",48.43249194,-122.8019169,"garry oak meadow","w",4,3.902757109,0.014718103,10.1,584,"none"
10,1,"Boulderwood E","C-SP",48.50535295,-123.3721714,"garry oak meadow","tc4",132,1.932172902,0.093158323,9.8,890,"none"
11,1,"Boulderwood W","C-SP",48.50544503,-123.3747557,"garry oak meadow","tc4",106,4.659652549,0.200033861,9.8,890,"none"
12,1,"Brackman Island Patch 1","C-GI",48.71801632,-123.3856406,"garry oak meadow","w",5,1.788684218,0.026960146,9.5,995,"none"
13,1,"Brackman Island Patch 2","C-GI",48.71976487,-123.385796,"garry oak meadow","w",4,1.265983361,0.029127271,9.5,995,"none"
14,1,"Cairn Park","C-SP",48.43476003,-123.4069322,"garry oak meadow","a",65,2.124686528,0.046014727,10.3,810,"none"
15,1,"Camrose Park","C-SP",48.45386912,-123.3518461,"garry oak meadow","a",57,3.529371867,0.065740381,10.3,810,"none"
16,1,"Cedar Hill","C-SP",48.45794971,-123.3473993,"garry oak meadow","a",76,2.543853112,0.029483991,10.3,810,"none"
17,1,"Channel Middle Island","C-GI",48.80159903,-123.3822772,"garry oak meadow","w",1,0.573779391,0.00809751,9.5,995,"none"
18,1,"Chatterton Hill","C-SP",48.49138379,-123.3849236,"garry oak meadow","tco",30,1.368317542,0.038630775,10.3,810,"none"
19,1,"Christmas Hill","C-SP",48.47366143,-123.3768791,"garry oak meadow","a",91,4.779032995,0.144868757,10.3,810,"none"
20,1,"Coon Island","US-GI",48.59493006,-123.0193727,"garry oak meadow","w",2,1.758788587,0.02079151,9.9,648,"none"
