siteid,projectid,Site,Subregion,treatmentid,v_year_measure,replicate,speciesid,speciesorigin,response,responselevel,responsemetric,measurementscale,measurementmetric,genus,species,lifeform,Treated
72,1,Oak Haven,C-SP,1_72,2006,1,Ger_dis,exotic,1,species,presence,varied,m2,Geranium,dissectum,annual forb,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Lin_bic,native,1,species,presence,varied,m2,Linanthus,bicolor,annual forb,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Myo_dis,exotic,1,species,presence,varied,m2,Myosotis,discolor,annual forb,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Nem_par,native,1,species,presence,varied,m2,Nemophila,parviflora,annual forb,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Ple_mac,native,1,species,presence,varied,m2,Plectritis,macrocera,annual forb,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,She_arv,exotic,1,species,presence,varied,m2,Sherardia,arvensis,annual forb,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Sis_off,exotic,1,species,presence,varied,m2,Sisymbrium,officinale,annual forb,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Tri_dub,exotic,1,species,presence,varied,m2,Trifolium,dubium,annual forb,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Tri_wil,native,1,species,presence,varied,m2,Trifolium,willdenovii,annual forb,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Ver_arv,exotic,1,species,presence,varied,m2,Veronica,arvensis,annual forb,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Vic_hir,exotic,1,species,presence,varied,m2,Vicia,hirsuta,annual forb,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Vic_sat,exotic,1,species,presence,varied,m2,Vicia,sativa,annual forb,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Air_car,exotic,1,species,presence,varied,m2,Aira,caryophyllea,annual grass,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Air_pra,exotic,1,species,presence,varied,m2,Aira,praecox,annual grass,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Bro_hor,exotic,1,species,presence,varied,m2,Bromus,hordeaceus,annual grass,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Bro_rig,exotic,1,species,presence,varied,m2,Bromus,rigidus,annual grass,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Bro_ste,exotic,1,species,presence,varied,m2,Bromus,sterilis,annual grass,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Cyn_ech,exotic,1,species,presence,varied,m2,Cynosurus,echinatus,annual grass,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Poa_ann,exotic,1,species,presence,varied,m2,Poa,annua,annual grass,Untreated
72,1,Oak Haven,C-SP,1_72,2006,1,Vul_bro,exotic,1,species,presence,varied,m2,Vulpia,bromoides,annual grass,Untreated
