SortID,MonitorID,QUniqueID,Date,Year,Location,Treated,YearTreated,ExSpTabTitle,Baseline,Quadrat,QuadratLocation_m,Species,Native_or_Invasive,PercentCover,OriginalSpecies
1,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q1,4.3,shooting star,Native,10,shooting star
2,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q1,4.3,Pacific sanicle,Native,3,Pacific sanicle
3,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q1,4.3,camas,Native,10,camas
4,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q1,4.3,herb robert geranium,Invasive,4,herb robert geranium
5,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q1,4.3,shiny geranium,Invasive,10,shiny geranium
6,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q1,4.3,fawn lily,Native,3,fawn lily
7,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q1,4.3,moss,MixedGrass,25,moss
8,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q1,4.3,Menzies larkspur,Native,9,Menzies larkspur
9,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q1,4.3,saxifrage species,Native,1,saxifrage species
10,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q1,4.3,mixed grass,MixedGrass,25,mixed invasive grasses
11,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q2,3.3,fawn lily,Native,1,fawn lily
12,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q2,3.3,shooting star,Native,8,shooting star
13,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q2,3.3,snowberry,Native,2,snowberry
14,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q2,3.3,Menzies larkspur,Native,10,Menzies larkspur
15,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q2,3.3,camas,Native,10,camas
16,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q2,3.3,shiny geranium,Invasive,20,shiny geranium
17,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q2,3.3,herb robert geranium,Invasive,9,herb robert geranium
18,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q2,3.3,moss,MixedGrass,8,moss
19,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q2,3.3,mixed grass,MixedGrass,32,mixed invasive grasses
20,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q3,8.3,Oregon grape,Native,8,Oregon grape
21,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q3,8.3,snowberry,Native,19,snowberry
22,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q3,8.3,Scotch broom,Invasive,1,Scotch broom
23,T-DL,,2025-04-02,2025,Oak Haven,Treated,2024,2025 Oak Haven Treated #1,1,Q3,8.3,shiny geranium,Invasive,35,shiny geranium
