Order_Calc_Split,Year,Date,Work_Site,Location,Area Cleared (m2) orig,Area Cleared (m2),Biomass Removed (m3) orig,Biomass Removed (m3),Data_Change_Assumptions,Invasive_Species_Cleared_orig,Invasive_Species_Cleared,Crew_Hours,Notes
43,2023,07-Dec,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,0,0.0,1.2,1.2,,English Ivy,English Ivy,26.5,
44,2023,08-Dec,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,0,0.0,0.8,0.8,,English Ivy,English Ivy,20,
95,2023,19-Sep,Yates,-,0,0.0,1,1.0,,Scotch broom ,Scotch broom,45,
236,2024,14-Nov,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,0,0.0,0,0.0,,Garry oak planting,NA,15,"Installed signs on deer exclosures. Planted, mapped, and photographed 24 donated (by GOMPS and by Central Saanich) Garry oak saplings. End of day removed some orchard grass.  "
237,2025,21-Oct,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,0,0.0,0,0.0,,NA,NA,0,MISSING DATA
238,2025,04-Sep,Camas Hill,-,0,0.0,0,0.0,,NA,NA,37.5,"The crew spent most of the day transporting spice bags containing scotch broom from areas in the upper Camas hill covenant to the bottom driveway of the property. Crew did a combination of fireline rolls, carrying, and dragging (only on none sensistive areas like the pipe and lower cement driveway) to transport the bags from higher elevation down to the bottom of the driveway. There were approximately 15 spices bags with completely dried plant material and 5 crew members which took them ~5 hours. This system of removing plant matter in late spring/early summer and leaving bags near removal sites in non-sensitive areas, then transporting in late summer when plant marterial has dried out,  much lighter, and all the sensitive wildflowers are no longer in bloom was very successful. Crew the last few hours of the day doing admin office hours. "
120,2025,30-May,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",15.4,15.4,0.5,0.5,,Shiny Geranium ,Shiny geranium,22.5,Removed shiny geranium in polygon across path from SAR patch. Plants forming seeds but not dispersing them yet. 
113,2025,07-Apr,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",17.1,17.1,0.05,0.1,,Shiny Geranium ,Shiny geranium,36,Manuallu pulled Shiny geranium from dense patch near shiny Geranium. Crew left field early to get work van from shop. 
39,2022,03-Oct,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs19,20,20.0,1,1.0,,Ivy,English Ivy,15,
112,2025,04-Apr,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",20.5,20.5,0.03,0.0,,Shiny Geranium ,Shiny geranium,15,Manually pulling SG. 
108,2024,07-Nov,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",21.3,21.3,0.2,0.2,,Scotch broom,Scotch broom,22.5,Patches of dense medium sized scotch broom. Pulled all visible in thick grass. Sweet vernal grass and few orchardgrass also present. Also did montoring on site for part of the day. 
111,2025,03-Apr,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",22.5,22.5,0.05,0.1,,Shiny Geranium ,Shiny geranium,26.5,crew manually pulled shiny geranium from dense regrowth patch (#6) near SAR1.Found and mapped 2 addintional shiny geranium patches. 
46,2022,23-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,25,25.0,0.5,0.5,,Invasive Grasses,Invasive Grasses,22.5,
115,2025,23-Apr,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",25,25.0,0.6,0.6,,Shiny geranium,Shiny geranium,30,Checking shiny geranium experiment plots (torched and 10% vinegar spray) and adding additional vinegar spray plots. Manual removal of shiny geranium from 1030am-3pm. 
104,2024,31-Oct,Purple Sanicle,-,26.5,26.5,0.6,0.6,,Scotch broom,Scotch broom,22.5,Small to medium regrowth. Happy Halloween :)
103,2024,30-Oct,Purple Sanicle,-,27,27.0,0.3,0.3,,Scotch broom,Scotch broom,15,Small to medium regrowth 
3,2023,28-Jul,Oak Haven Park,"1253 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",30,30.0,1.3,1.3,,Daphne ,Daphne,15,Neal Off
4,2023,15-Aug,Oak Haven Park,"1254 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",30,30.0,2.5,2.5,,Daphne,Daphne,15,Aislyn & Neal Monitoring/ Lauren Crew Lead
47,2022,26-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs14,30,30.0,1,1.0,,Invasive Grasses,Invasive Grasses,22.5,
48,2022,27-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs15,30,30.0,1,1.0,,Invasive Grasses,Invasive Grasses,22.5,
117,2025,05-May,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",30.5,30.5,0.15,0.2,,Shiny geranium,Shiny geranium,22.5,"First half of the day in office cleaning tools and office work. Talked to Shania about our bandana idea. After lunch crew pulled shiny geranium. Geranium has come into seed the last few weeks, no mature seed heads yet but very close as  but plump green seeds get ready to explode. "
105,2024,01-Nov,Purple Sanicle,-,39,39.0,0.6,0.6,,Scotch broom,Scotch broom,22.5,Small to medium regrowth 
2,2023,26-Jul,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",40,40.0,2,2.0,,Daphne ,Daphne,22.5,
119,2023,25-May,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",40,40.0,0.2,0.2,,Shiny geranium,Shiny geranium,35,
114,2025,09-Apr,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",44,44.0,0.05,0.1,,Shiny Geranium ,Shiny geranium,30,"Continued removing dense patch of shiny geranium near SAR1. Also, timed each crew manually pulling shiny geranium in 1x1 metre plots to compare with experimental burning and vinegar treatment. "
97,2025,23-Sep,Purple Sanicle,-,44.39,44.4,0.9,0.9,,Scotch broom,Scotch broom,22.5,"Removed dense, small sized scotch broom regrowth, some containing seeds (polygon 6). Did not complete patch, will need to return to remove remaining broom "
30,2023,24-Jul,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,45,45.0,0.8,0.8,,English Ivy,English Ivy,15,Lauren Off/Neal fill in as crew lead 
102,2024,29-Oct,Purple Sanicle,-,45,45.0,0.4,0.4,,Scotch broom,Scotch broom,22.5,Small regrowth in area containing purple sanicle
125,2024,21-Jun,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",47,47.0,0.1,0.1,,Shiny geranium ,Shiny geranium,15,"Removed shiny geranium, most contained seeds almost ready to drop"
127,2024,10-Oct,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,54.5,54.5,0.5,0.5,,Thatch ,Thatch,22.5,"2nd round of mowing in deer Exclosure #1, completed fencing for deer Exclosure #2, roughened soil and seeded deer Exclosure #1. "
36,2023,01-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,60,60.0,1.2,1.2,,English Ivy,English Ivy,30,Lauren Off
40,2022,17-Oct,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs19,60,60.0,1,1.0,,Ivy,English Ivy,15,
41,2022,19-Oct,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs20,60,60.0,1,1.0,,Ivy,English Ivy,15,
42,2022,21-Oct,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs21,60,60.0,1,1.0,,Ivy,English Ivy,22.5,
110,2025,02-Apr,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",61.6,61.6,0.05,0.1,,Shiny Geranium ,Shiny geranium,30,crew  manually pulled shiny geranium from dense regrowth patch (#6) near SAR1.
123,2024,11-Jun,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",61.6,61.6,0.3,0.3,,Shiny Geranium,Shiny geranium,34,"Removed shiny geranium, most contained seeds almost ready to drop"
35,2023,31-Aug,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,70,70.0,2.8,2.8,,English Ivy,English Ivy,37.5,Lauren last day full time
51,2024,12-Nov,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,81.8,81.8,0.2,0.2,,Orchard grass,Orchard grass,22.5,"Spent morning scouting the covenant for invasive species to inform next years mgmt plan, removed some orchard grass in the afternoon . "
116,2025,24-Apr,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",92.8,92.8,1.4,1.4,,Shiny geranium,Shiny geranium,37.5,"In morning, recorded observations of 3 new vinegar spray test plots. Then, crew continued to manually remove shiny geranium from polygon 1. The crew also collected 1.5 spice bags of scotch broom that was manually pulled and piled by local neighbour Greg.started to see shiny geranium with flowers and ring seed pods this week.  "
10,2022,04-Oct,Oak Haven Park,"1261 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",100,100.0,3,3.0,,Daphne,Daphne,15,
11,2022,05-Oct,Oak Haven Park,"1262 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",100,100.0,3,3.0,,Daphne,Daphne,15,
12,2022,06-Oct,Oak Haven Park,"1263 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",100,100.0,1,1.0,,Daphne,Daphne,15,
14,2022,12-Oct,Oak Haven Park,"1265 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",100,100.0,2,2.0,,Daphne,Daphne,15,
16,2022,24-Oct,Oak Haven Park,"1266 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",100,100.0,3,3.0,,Daphne,Daphne,22.5,
126,2023,04-Jul,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",100,100.0,2,2.0,,Shiny Geranium,Shiny geranium,32.5,"Calypso Woods Monitoring, VNFC + Christina at MCA + Vanessa Dentist Appointment"
121,2024,05-Jun,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",100.3,100.3,0.2,0.2,,Shiny Geranium ,Shiny geranium,30.5,"Removed shiny geranium, most contained seeds almost ready to drop"
106,2024,05-Nov,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",108,108.0,1.5,1.5,,Scotch broom,Scotch broom,30,Removed dense patch of small to medium scotch broom removed in patch of SARA slim leaf onion
98,2024,01-Oct,Purple Sanicle,-,110,110.0,0.2,0.2,,S.broom,Scotch broom,26.5,"Morning spent on mushroom walk, then site orientation at Purple Sanicle covenant before 1.5 hours (small regrowth) broom removal. Max present for walk and orientation."
101,2024,04-Oct,Purple Sanicle,-,113,113.0,1.8,1.8,,S.broom,Scotch broom,22.5,Small and medium broom removal
80,2024,02-Jul,Camas Hill,-,127.2,127.2,0.3,0.3,,Scotch Broom ,Scotch broom,30,Removed small regrowth Scotch Broom 
96,2025,22-Sep,Purple Sanicle,-,134,134.0,1,1.0,,Scotch broom,Scotch broom,22.5,Crew continued removing scotch broom near purple sanicle sub population in polygon 4.
124,2024,20-Jun,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",134,134.0,0.2,0.2,,Shiny Geranium,Shiny geranium,22.5,"Removed shiny geranium, most contained seeds almost ready to drop"
99,2024,02-Oct,Purple Sanicle,-,138,138.0,0.8,0.8,,S.broom,Scotch broom,22.5,Small and medium broom removal
122,2024,06-Jun,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",142.7,142.7,0.2,0.2,,Shiny Geranium ,Shiny geranium,22.5,"Removed shiny geranium, most contained seeds almost ready to drop"
31,2023,16-Aug,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,150,150.0,2.2,2.2,,English Ivy,English Ivy,29,
32,2023,17-Aug,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,150,150.0,1.8,1.8,,English Ivy,English Ivy,37.5,Removed ivy from matson and bagged garbage
100,2024,03-Oct,Purple Sanicle,-,158,158.0,1,1.0,,S.broom,Scotch broom,22.5,Small and medium broom removal
38,2025,17-Sep,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,160,160.0,2.7,2.7,,English Ivy ,English Ivy,37.5,Crew continued removing English Ivy from steep rocky slope area. Ended day by removing a small amount of blackberry from woodland area and reed canary grass from meadow. 
109,2024,18-Nov,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",160,160.0,2,2.0,,Scotch broom ,Scotch broom,30,Removed dense patch and some sparse patches of scotch broom in between two populations of slim leaf onion 
78,2023,22-Jun,Camas Hill,-,175,175.0,6,6.0,,Scotch broom,Scotch broom,36.5,Juniper joining the crew in the field for veg. survey
79,2023,23-Jun,Camas Hill,-,175,175.0,5,5.0,,Scotch broom,Scotch broom,22.5,Max to CGOP
82,2024,04-Jul,Camas Hill,-,182,182.0,3,3.0,,Scotch Broom ,Scotch broom,30,Small regrowth and mature seeding broom
81,2024,03-Jul,Camas Hill,-,195,195.0,2.5,2.5,,Scotch Broom ,Scotch broom,30,Removed small regrowth Scotch Broom 
86,2025,14-Aug,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",195.94,195.9,1,1.0,,Scotch broom ,Scotch broom,22.5,"Crew finished work at the Funk property in one day so headed to Oak Haven Parkto removed scotch broom regrowth in senstive SAR areas. Removed dense patch of medium sized scotch broom regrowth in depression area where slimleaf onion population exists. Crew carefully pulled broom to remove and, only when needed, cut stems under surface to carefully cut root stem to avoid possibly damaging SLO bulbs."
34,2023,24-Aug,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs13,200,200.0,2.8,2.8,,English Ivy,English Ivy,37.5,
71,2023,06-Jun,Yates,-,200,200.0,0.75,0.8,,Scotch broom,Scotch broom,30,Aislyn Homer Monitoring
75,2023,14-Jun,Camas Hill,-,200,200.0,2,2.0,,Scotch broom,Scotch broom,37.5,
107,2024,06-Nov,Oak Haven Park,"1251 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",211.1,211.1,1,1.0,,Scotch broom,Scotch broom,30,Removed dense patch of small scotch broom near patch of naturally occurring SARA slim leaf onion
49,2024,07-Oct,Matson Conservation Area,https://maps.app.goo.gl/MN9fpJThnJ7iHBCs9,213,213.0,0.5,0.5,,Orchardgrass,Orchard grass,15,Prep for seeding meadow
17,2022,25-Oct,Oak Haven Park,"1267 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",250,250.0,4,4.0,,Daphne,Daphne,22.5,
18,2022,26-Oct,Oak Haven Park,"1268 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",250,250.0,4,4.0,,Daphne,Daphne,15,
19,2022,27-Oct,Oak Haven Park,"1269 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",250,250.0,4,4.0,,Daphne,Daphne,22.5,
20,2022,31-Oct,Oak Haven Park,"1270 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",250,250.0,3,3.0,,Daphne,Daphne,15,
21,2022,01-Nov,Oak Haven Park,"1271 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",250,250.0,3,3.0,,Daphne,Daphne,22.5,
22,2022,02-Nov,Oak Haven Park,"1272 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",250,250.0,3,3.0,,Daphne,Daphne,15,
26,2022,09-Nov,Oak Haven Park,"1276 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",250,250.0,3,3.0,,Daphne,Daphne,15,
28,2022,15-Nov,Oak Haven Park,"1278 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",250,250.0,4,4.0,,Daphne,Daphne,15,
29,2022,16-Nov,Oak Haven Park,"1279 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",250,250.0,3,3.0,,Daphne,Daphne,15,
25,2022,08-Nov,Oak Haven Park,"1275 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",300,300.0,4,4.0,,Daphne,Daphne,15,
62,2025,20-May,Camas Hill,-,308.4,308.4,2,2.0,,Scotch Broom ,Scotch broom,22.5,Removed scotch broom regrowth in larger extent SLO-4 polygon from CESI report from 2011. Found 2-3 patch’s of SLO and flagged out 1 patch. Need to flag remaining patches. 
94,2025,16-Sep,Purple Sanicle,-,315,315.0,1.3,1.3,,Scotch broom ,Scotch broom,37.5,Crew removed scotch broom from area near purple sanicle SAR sub-population. Andrea from ECCC came to a site visit and crew showed them what they were doing along with site maps and reports. 
83,2024,05-Jul,Camas Hill,-,338,338.0,3,3.0,,Scotch Broom ,Scotch broom,30,Small sparse regrowth and mature seeding broom
218,2024,20-Sep,Havenwood Park,https://maps.app.goo.gl/9sGJisW8esQFWvoY8,342,342.0,2.5,2.5,,Hymalayan Blackberry ,Himalayan blackberry,30,Removed mature Hymalayan blackberry (crown roots and biomass) with friends of havenwood volunteers at one location & small blackberry regrowth at the grad corner  
5,2023,18-Aug,Oak Haven Park,"1254 Garden Gate Dr, Brentwood Bay, BC V8M 2H6",350,350.0,3,3.0,,Daphne,Daphne,30,"Lauren off, Aislyn off"
