"Work_Site","Year","Invasive_Species_Cleared","Biomass_Removed_m3","Crew_Hours","Area_Cleared_m2"
"Bear Hill",2024,"Misc Species",33,68,729
"Calypso Woods",2025,"Scotch broom",3,30,594.8
"Camas Hill",2023,"Scotch broom",59,258,2800
"Camas Hill",2024,"Scotch broom",8.8,120,842.2
"Camas Hill",2025,"Scotch broom",14.7,150,4986.2
"Camas Hill",2025,NA,0,37.5,0
"Funk",2023,"Scotch broom",5,34.5,1513
"Funk",2024,"Scotch broom",4,30,3549
"Funk",2025,"Scotch broom",3,22.5,5344.7
"Havenwood Park",2023,"Himalayan blackberry",7.5,37.5,100
"Havenwood Park",2023,"Scotch broom",7.5,37.5,100
"Havenwood Park",2024,"Himalayan blackberry",2.5,30,342
"Matson Conservation Area",2022,"English Ivy",5.3,135,225
"Matson Conservation Area",2022,"Invasive Grasses",3.8,135,110
"Matson Conservation Area",2023,"Cleavers",0.5,27.5,37.5
"Matson Conservation Area",2023,"Daphne",0.3,15,25
"Matson Conservation Area",2023,"English Ivy",27.2,600,988.8
"Matson Conservation Area",2023,"English hawthorn",0.3,15,15
"Matson Conservation Area",2023,"European privet",0.6,37.5,20
"Matson Conservation Area",2023,"Garlic",0.4,37.5,20
"Matson Conservation Area",2023,"Himalayan blackberry",13.3,352,288.8
"Matson Conservation Area",2023,"Orchard grass",0.6,37.5,13.3
"Matson Conservation Area",2023,"Scotch broom",0.8,75,65.5
"Matson Conservation Area",2023,"Sedge",0.9,65,57.5
"Matson Conservation Area",2024,"English Ivy",2.7,113,815.1
"Matson Conservation Area",2024,"Himalayan blackberry",2.7,113,815.1
"Matson Conservation Area",2024,"Orchard grass",4.1,98,826.7
"Matson Conservation Area",2024,"Scotch broom",0.3,30,567.3
"Matson Conservation Area",2024,"Sedge",0.3,30.5,110.8
"Matson Conservation Area",2024,"Thatch",0.9,60.5,96.4
"Matson Conservation Area",2024,"Thistle",0.3,30.5,110.8
"Matson Conservation Area",2024,NA,0,15,0
"Matson Conservation Area",2025,"Creeping buttercup",0.2,18,224
"Matson Conservation Area",2025,"English Ivy",3.8,89,363.1
"Matson Conservation Area",2025,"Himalayan blackberry",0.2,60,221.7
"Matson Conservation Area",2025,"Periwinkle",0.1,30,157.7
"Matson Conservation Area",2025,"Purple toadflax",1,21.5,45.4
"Matson Conservation Area",2025,"Reed canary grass",0.2,18,224
"Matson Conservation Area",2025,"Scotch broom",0.1,30,64
"Matson Conservation Area",2025,NA,0,0,0
"Oak Haven Park",2022,"Daphne",83.5,630,11160.9
"Oak Haven Park",2022,"English Ivy",2.5,30,1200
"Oak Haven Park",2022,"Himalayan blackberry",6,75,783.4
"Oak Haven Park",2022,"Holly",1.5,22.5,600
"Oak Haven Park",2022,"Scotch broom",11.5,195,3610.9
"Oak Haven Park",2023,"Daphne",25,332.5,1788.3
"Oak Haven Park",2023,"English Ivy",7.7,130,863.3
"Oak Haven Park",2023,"Scotch broom",1.2,60,38.3
"Oak Haven Park",2023,"Shiny geranium",3.2,105,190
"Oak Haven Park",2024,"Scotch broom",5.1,135,527.9
"Oak Haven Park",2024,"Shiny geranium",1,124.5,485.6
"Oak Haven Park",2024,"Sweet vernal grass",0.4,22.5,27.5
"Oak Haven Park",2025,"Scotch broom",1,22.5,195.9
"Oak Haven Park",2025,"Shiny geranium",NA,275,839.3
"Purple Sanicle",2024,"Scotch broom",5.7,176.5,656.5
"Purple Sanicle",2025,"Scotch broom",4,112.5,1038.4
"Yates",2023,"Daphne",2.4,94,22069
"Yates",2023,"Holly",0.5,37.5,492
"Yates",2023,"Scotch broom",9,281.5,24661
"Yates",2024,"Scotch broom",27,195,15621
"Yates",2025,"Daphne",0.3,37.5,631.7
"Yates",2025,"Scotch broom",20,270.5,10873.7
"Yates",2025,"Tansy ragwort",0.3,37.5,631.7
