"Work_Site","Year","Biomass_Removed_m3","Crew_Hours","Area_Cleared_m2","Labour_Hr_Bio_Ratio","Labour_Bio_Hr_Ratio","Area_Bio_Ratio"
"Bear Hill",2024,33,68,729,2.1,0.5,22.1
"Calypso Woods",2025,3,30,594.8,10,0.1,198.3
"Camas Hill",2023,59,258,2800,4.4,0.2,47.5
"Camas Hill",2024,8.8,120,842.2,13.6,0.1,95.7
"Camas Hill",2025,14.7,187.5,4986.2,12.8,0.1,339.2
"Funk",2023,5,34.5,1513,6.9,0.1,302.6
"Funk",2024,4,30,3549,7.5,0.1,887.2
"Funk",2025,3,22.5,5344.7,7.5,0.1,1781.6
"Havenwood Park",2023,15,75,200,5,0.2,13.3
"Havenwood Park",2024,2.5,30,342,12,0.1,136.8
"Matson Conservation Area",2022,9.1,270,335,29.7,0,36.8
"Matson Conservation Area",2023,44.9,1262,1531.4,28.1,0,34.1
"Matson Conservation Area",2024,11.3,490.5,3342.2,43.4,0,295.8
"Matson Conservation Area",2025,5.6,266.5,1299.9,47.6,0,232.1
"Oak Haven Park",2022,105,952.5,17355.2,9.1,0.1,165.3
"Oak Haven Park",2023,37.1,627.5,2879.9,16.9,0.1,77.6
"Oak Haven Park",2024,6.5,282,1041,43.4,0,160.2
"Oak Haven Park",2025,NA,297.5,1035.2,NA,NA,NA
"Purple Sanicle",2024,5.7,176.5,656.5,31,0,115.2
"Purple Sanicle",2025,4,112.5,1038.4,28.1,0,259.6
"Yates",2023,11.9,413,47222,34.7,0,3968.2
"Yates",2024,27,195,15621,7.2,0.1,578.6
"Yates",2025,20.6,345.5,12137.1,16.8,0.1,589.2
