"treatmentid","siteid","restorationtype","tsr_start_year","trt_year","trt_tsr","treatmentmonth","treatment_category","treatment_type"
"4_1",128,"passive",2005,2006,78,10,"fire","fire"
"4_1",128,"passive",2005,2008,183,10,"fire","fire"
"4_10",129,"seeding",2005,2006,78,10,"fire","fire"
"4_10",129,"seeding",2005,2008,183,10,"fire","fire"
"4_100",134,"seeding",2005,2006,78,10,"fire","fire"
"4_100",134,"seeding",2005,2008,183,10,"fire","fire"
"4_101",134,"seeding",2005,2006,78,10,"fire","fire"
"4_101",134,"seeding",2005,2008,183,10,"fire","fire"
"4_102",134,"seeding",2005,2006,78,10,"fire","fire"
"4_102",134,"seeding",2005,2008,183,10,"fire","fire"
"4_103",134,"passive",2005,2006,78,10,"fire","fire"
"4_103",134,"passive",2005,2008,183,10,"fire","fire"
"4_11",129,"seeding",2005,2006,78,10,"fire","fire"
"4_11",129,"seeding",2005,2008,183,10,"fire","fire"
"4_116",135,"seeding",2005,2006,78,10,"fire","fire"
"4_116",135,"seeding",2005,2008,183,10,"fire","fire"
"4_117",135,"seeding",2005,2006,78,10,"fire","fire"
"4_117",135,"seeding",2005,2008,183,10,"fire","fire"
"4_118",135,"seeding",2005,2006,78,10,"fire","fire"
"4_118",135,"seeding",2005,2008,183,10,"fire","fire"
"4_119",135,"passive",2005,2006,78,10,"fire","fire"
"4_119",135,"passive",2005,2008,183,10,"fire","fire"
"4_12",129,"seeding",2005,2006,78,10,"fire","fire"
"4_12",129,"seeding",2005,2008,183,10,"fire","fire"
"4_120",135,"seeding",2005,2006,78,10,"fire","fire"
"4_120",135,"seeding",2005,2008,183,10,"fire","fire"
"4_121",135,"seeding",2005,2006,78,10,"fire","fire"
"4_121",135,"seeding",2005,2008,183,10,"fire","fire"
"4_122",135,"seeding",2005,2006,78,10,"fire","fire"
"4_122",135,"seeding",2005,2008,183,10,"fire","fire"
"4_123",135,"passive",2005,2006,78,10,"fire","fire"
"4_123",135,"passive",2005,2008,183,10,"fire","fire"
"4_13",129,"passive",2005,2006,78,10,"fire","fire"
"4_13",129,"passive",2005,2008,183,10,"fire","fire"
"4_136",136,"seeding",2005,2006,78,10,"fire","fire"
"4_136",136,"seeding",2005,2008,183,10,"fire","fire"
"4_137",136,"seeding",2005,2006,78,10,"fire","fire"
"4_137",136,"seeding",2005,2008,183,10,"fire","fire"
"4_138",136,"seeding",2005,2006,78,10,"fire","fire"
"4_138",136,"seeding",2005,2008,183,10,"fire","fire"
"4_139",136,"passive",2005,2006,78,10,"fire","fire"
"4_139",136,"passive",2005,2008,183,10,"fire","fire"
"4_140",136,"seeding",2005,2006,78,10,"fire","fire"
"4_140",136,"seeding",2005,2008,183,10,"fire","fire"
"4_141",136,"seeding",2005,2006,78,10,"fire","fire"
"4_141",136,"seeding",2005,2008,183,10,"fire","fire"
"4_142",136,"seeding",2005,2006,78,10,"fire","fire"
"4_142",136,"seeding",2005,2008,183,10,"fire","fire"
"4_143",136,"passive",2005,2006,78,10,"fire","fire"
"4_143",136,"passive",2005,2008,183,10,"fire","fire"
"4_156",137,"seeding",2005,2006,78,10,"fire","fire"
"4_156",137,"seeding",2005,2008,183,10,"fire","fire"
"4_157",137,"seeding",2005,2006,78,10,"fire","fire"
"4_157",137,"seeding",2005,2008,183,10,"fire","fire"
"4_158",137,"seeding",2005,2006,78,10,"fire","fire"
"4_158",137,"seeding",2005,2008,183,10,"fire","fire"
"4_159",137,"passive",2005,2006,78,10,"fire","fire"
"4_159",137,"passive",2005,2008,183,10,"fire","fire"
"4_160",137,"seeding",2005,2006,78,10,"fire","fire"
"4_160",137,"seeding",2005,2008,183,10,"fire","fire"
"4_161",137,"seeding",2005,2006,78,10,"fire","fire"
"4_161",137,"seeding",2005,2008,183,10,"fire","fire"
"4_162",137,"seeding",2005,2006,78,10,"fire","fire"
"4_162",137,"seeding",2005,2008,183,10,"fire","fire"
"4_163",137,"passive",2005,2006,78,10,"fire","fire"
"4_163",137,"passive",2005,2008,183,10,"fire","fire"
"4_176",138,"seeding",2005,2006,78,10,"fire","fire"
"4_176",138,"seeding",2005,2008,183,10,"fire","fire"
"4_177",138,"seeding",2005,2006,78,10,"fire","fire"
"4_177",138,"seeding",2005,2008,183,10,"fire","fire"
"4_178",138,"seeding",2005,2006,78,10,"fire","fire"
"4_178",138,"seeding",2005,2008,183,10,"fire","fire"
"4_179",138,"passive",2005,2006,78,10,"fire","fire"
"4_179",138,"passive",2005,2008,183,10,"fire","fire"
"4_180",138,"seeding",2005,2006,78,10,"fire","fire"
"4_180",138,"seeding",2005,2008,183,10,"fire","fire"
"4_181",138,"seeding",2005,2006,78,10,"fire","fire"
"4_181",138,"seeding",2005,2008,183,10,"fire","fire"
"4_182",138,"seeding",2005,2006,78,10,"fire","fire"
"4_182",138,"seeding",2005,2008,183,10,"fire","fire"
"4_183",138,"passive",2005,2006,78,10,"fire","fire"
"4_183",138,"passive",2005,2008,183,10,"fire","fire"
"4_2",128,"passive",2005,2006,78,10,"fire","fire"
"4_2",128,"passive",2005,2008,183,10,"fire","fire"
"4_26",130,"seeding",2005,2006,78,10,"fire","fire"
"4_26",130,"seeding",2005,2008,183,10,"fire","fire"
"4_27",130,"passive",2005,2006,78,10,"fire","fire"
"4_27",130,"passive",2005,2008,183,10,"fire","fire"
"4_28",130,"seeding",2005,2006,78,10,"fire","fire"
