"treatmentid","siteid","restorationtype","tsr_start_year","trt_year","trt_tsr","treatmentmonth","treatment_category","treatment_type"
"4_1",128,"passive",2005,2005,0,4,"herbicide","sethoxydim"
"4_1",128,"passive",2005,2006,52,4,"herbicide","sethoxydim"
"4_1",128,"passive",2005,2006,78,10,"herbicide","glyphosate"
"4_1",128,"passive",2005,2007,104,4,"herbicide","sethoxydim"
"4_1",128,"passive",2005,2008,183,10,"herbicide","glyphosate"
"4_10",129,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_10",129,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_100",134,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_100",134,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_101",134,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_101",134,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_102",134,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_102",134,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_103",134,"passive",2005,2006,78,10,"herbicide","glyphosate"
"4_103",134,"passive",2005,2008,183,10,"herbicide","glyphosate"
"4_108",134,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_108",134,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_108",134,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_109",134,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_109",134,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_109",134,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_11",129,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_11",129,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_110",134,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_110",134,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_110",134,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_111",134,"passive",2005,2005,0,4,"herbicide","sethoxydim"
"4_111",134,"passive",2005,2006,52,4,"herbicide","sethoxydim"
"4_111",134,"passive",2005,2007,104,4,"herbicide","sethoxydim"
"4_116",135,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_116",135,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_116",135,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_116",135,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_116",135,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_117",135,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_117",135,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_117",135,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_117",135,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_117",135,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_118",135,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_118",135,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_118",135,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_118",135,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_118",135,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_119",135,"passive",2005,2005,0,4,"herbicide","sethoxydim"
"4_119",135,"passive",2005,2006,52,4,"herbicide","sethoxydim"
"4_119",135,"passive",2005,2006,78,10,"herbicide","glyphosate"
"4_119",135,"passive",2005,2007,104,4,"herbicide","sethoxydim"
"4_119",135,"passive",2005,2008,183,10,"herbicide","glyphosate"
"4_12",129,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_12",129,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_120",135,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_120",135,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_121",135,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_121",135,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_122",135,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_122",135,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_123",135,"passive",2005,2006,78,10,"herbicide","glyphosate"
"4_123",135,"passive",2005,2008,183,10,"herbicide","glyphosate"
"4_128",135,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_128",135,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_128",135,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_129",135,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_129",135,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_129",135,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_13",129,"passive",2005,2006,78,10,"herbicide","glyphosate"
"4_13",129,"passive",2005,2008,183,10,"herbicide","glyphosate"
"4_130",135,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_130",135,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_130",135,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_131",135,"passive",2005,2005,0,4,"herbicide","sethoxydim"
"4_131",135,"passive",2005,2006,52,4,"herbicide","sethoxydim"
"4_131",135,"passive",2005,2007,104,4,"herbicide","sethoxydim"
"4_136",136,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_136",136,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_136",136,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_136",136,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_136",136,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_137",136,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_137",136,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_137",136,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_137",136,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_137",136,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_138",136,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_138",136,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_138",136,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_138",136,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_138",136,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_139",136,"passive",2005,2005,0,4,"herbicide","sethoxydim"
"4_139",136,"passive",2005,2006,52,4,"herbicide","sethoxydim"
"4_139",136,"passive",2005,2006,78,10,"herbicide","glyphosate"
"4_139",136,"passive",2005,2007,104,4,"herbicide","sethoxydim"
"4_139",136,"passive",2005,2008,183,10,"herbicide","glyphosate"
"4_140",136,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_140",136,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_141",136,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_141",136,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_142",136,"seeding",2005,2006,78,10,"herbicide","glyphosate"
"4_142",136,"seeding",2005,2008,183,10,"herbicide","glyphosate"
"4_143",136,"passive",2005,2006,78,10,"herbicide","glyphosate"
"4_143",136,"passive",2005,2008,183,10,"herbicide","glyphosate"
"4_148",136,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_148",136,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_148",136,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_149",136,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_149",136,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_149",136,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_150",136,"seeding",2005,2005,0,4,"herbicide","sethoxydim"
"4_150",136,"seeding",2005,2006,52,4,"herbicide","sethoxydim"
"4_150",136,"seeding",2005,2007,104,4,"herbicide","sethoxydim"
"4_151",136,"passive",2005,2005,0,4,"herbicide","sethoxydim"
