"treatmentid","siteid","restorationtype","tsr_start_year","trt_year","trt_tsr","treatmentmonth","treatment_category","treatment_type"
"4_10",129,"seeding",2005,2005,0,4,"invasion control","mowing"
"4_100",134,"seeding",2005,2005,0,4,"invasion control","mowing"
"4_101",134,"seeding",2005,2005,0,4,"invasion control","mowing"
"4_102",134,"seeding",2005,2005,0,4,"invasion control","mowing"
"4_103",134,"passive",2005,2005,0,4,"invasion control","mowing"
"4_104",134,"seeding",2005,2005,0,4,"invasion control","mowing"
"4_104",134,"seeding",2005,2005,26,10,"invasion control","mowing"
"4_104",134,"seeding",2005,2006,52,4,"invasion control","mowing"
"4_104",134,"seeding",2005,2006,78,10,"invasion control","mowing"
"4_104",134,"seeding",2005,2007,104,4,"invasion control","mowing"
"4_104",134,"seeding",2005,2007,130,10,"invasion control","mowing"
"4_104",134,"seeding",2005,2008,157,4,"invasion control","mowing"
"4_104",134,"seeding",2005,2008,183,10,"invasion control","mowing"
"4_105",134,"seeding",2005,2005,0,4,"invasion control","mowing"
"4_105",134,"seeding",2005,2005,26,10,"invasion control","mowing"
"4_105",134,"seeding",2005,2006,52,4,"invasion control","mowing"
"4_105",134,"seeding",2005,2006,78,10,"invasion control","mowing"
"4_105",134,"seeding",2005,2007,104,4,"invasion control","mowing"
"4_105",134,"seeding",2005,2007,130,10,"invasion control","mowing"
"4_105",134,"seeding",2005,2008,157,4,"invasion control","mowing"
"4_105",134,"seeding",2005,2008,183,10,"invasion control","mowing"
"4_106",134,"seeding",2005,2005,0,4,"invasion control","mowing"
"4_106",134,"seeding",2005,2005,26,10,"invasion control","mowing"
"4_106",134,"seeding",2005,2006,52,4,"invasion control","mowing"
"4_106",134,"seeding",2005,2006,78,10,"invasion control","mowing"
"4_106",134,"seeding",2005,2007,104,4,"invasion control","mowing"
"4_106",134,"seeding",2005,2007,130,10,"invasion control","mowing"
"4_106",134,"seeding",2005,2008,157,4,"invasion control","mowing"
"4_106",134,"seeding",2005,2008,183,10,"invasion control","mowing"
"4_107",134,"passive",2005,2005,0,4,"invasion control","mowing"
"4_107",134,"passive",2005,2005,26,10,"invasion control","mowing"
"4_107",134,"passive",2005,2006,52,4,"invasion control","mowing"
"4_107",134,"passive",2005,2006,78,10,"invasion control","mowing"
"4_107",134,"passive",2005,2007,104,4,"invasion control","mowing"
"4_107",134,"passive",2005,2007,130,10,"invasion control","mowing"
"4_107",134,"passive",2005,2008,157,4,"invasion control","mowing"
"4_107",134,"passive",2005,2008,183,10,"invasion control","mowing"
"4_108",134,"seeding",2005,2005,26,10,"invasion control","mowing"
"4_108",134,"seeding",2005,2006,78,10,"invasion control","mowing"
"4_108",134,"seeding",2005,2007,130,10,"invasion control","mowing"
"4_108",134,"seeding",2005,2008,183,10,"invasion control","mowing"
"4_109",134,"seeding",2005,2005,26,10,"invasion control","mowing"
"4_109",134,"seeding",2005,2006,78,10,"invasion control","mowing"
"4_109",134,"seeding",2005,2007,130,10,"invasion control","mowing"
"4_109",134,"seeding",2005,2008,183,10,"invasion control","mowing"
"4_11",129,"seeding",2005,2005,0,4,"invasion control","mowing"
"4_110",134,"seeding",2005,2005,26,10,"invasion control","mowing"
"4_110",134,"seeding",2005,2006,78,10,"invasion control","mowing"
