Work Site,Hours ,Days ,Area,Biomass,Site #,Site,Partner_Code
Bear Hill (HAT),68,2,729,33,19,Bear Hill ,HAT
Camas Hill (HAT),120,4,842.2,8.8,8,Camas Hill ,HAT
CGOP (NCC),90,4,157.1,5.5,20,CGOP ,NCC
Chase Woods (NCC),127.5,5,155.6,10.5,22,Chase Woods ,NCC
Funk (HAT),30,1,3549,4,26,Funk ,HAT
Goldenback Fern (ITC),82,2,162,0.2,5,Goldenback Fern ,ITC
Goldstream (BC Parks),52.5,2,3473,16,25,Goldstream ,BC Parks
Good Neighbours (HAT),155,5,2604.98,9.8,40,Good Neighbours ,HAT
Harewood Plains (Nanaimo),86.5,2,7831,13,24,Harewood Plains ,Nanaimo
Havenwood,30,1,342,2.5,33,Havenwood,NONE
Kindwood (NCC),181,7,7310,19.5,4,Kindwood ,NCC
Knockan Hill (Saanich),49,2,3725,2.3,11,Knockan Hill ,Saanich
Little D'Arcy (ITC),45,1,1095,0.9,15,Little D'Arcy ,ITC
Lohbrunner Woods (NCC),30,1,5000,0.4,13,Lohbrunner Woods ,NCC
Maple Mountain (North Cowichan),150,5,423.5,12.5,14,Maple Mountain ,North Cowichan
Mary Tod,52.5,1,11475,5,32,Mary Tod,NONE
Matson Conservation Area (HAT),113,10,3341.9,11,17,Matson Conservation Area ,HAT
MÁWUE_ (Tsartlip),0,3,182.7,1.2,30,MAWUEC,Tsartlip
Medicine Beach (ITC),54,1,5460,2.1,6,Medicine Beach ,ITC
Mt Tuam (ITC),130,4,3398,12.5,27,Mt Tuam ,ITC
NOT-SHARED-Site1,NA,NA,NA,NA,1,NOT-SHARED,NONE
NOT-SHARED-Site2,NA,NA,NA,NA,2,NOT-SHARED,NONE
Oak Bay - Walbran Park,231.25,6,1529.9,13.5,18,Oak Bay - Walbran Park,NONE
Oak Haven Park (HAT),229,10,1041,6.5,9,Oak Haven Park ,HAT
PKOLS (Saanich),66,3,2453,14.6,10,PKOLS ,Saanich
Purple Sanicle (HAT),176.5,8,656.5,5.7,23,Purple Sanicle ,HAT
Quw’utsun Estuary (Satinflower),37.5,1,74,0.3,35,Quw'u'sun Estuary ,Satinflower
Reginald Hill (NCC),213,5,8622,30,21,Reginald Hill ,NCC
Rocky Point (DND),90,3,11832.93,8.6,3,Rocky Point ,DND
S_ID_E_ (PH),232.25,9,674.12,12.3,16,SNIDCEL,PH
_IKEL  (WLC),0,0,0,0,31,TIKEL  ,WLC
Wallace Point (ITC),30,1,1252,3,28,Wallace Point ,ITC
Woodwinds (ITC),36,1,1190,4,29,Woodwinds ,ITC
WSÍ¸EM Ivy Project,116,7,3014.3,35,12,"WSI,KEM Ivy Project",NONE
Xwaaqw'um (Stqeeye'),0,2,0,0,34,Xwaaqw'um ,Stqeeye'
Yates Property,195,7,4586.82,27,7,Yates Property,NONE
