Date Observed,Scientific Name,Common Name,Designation,Site,Coordinates (if available) ,Notes 
02-May,Sanicula bipinnatifida,Purple Sanicle,"S2, Red, T, ",Uplands park-Oak bay park ,"48.4397883333, -123.2942416667",
03-May,Ranunculus alismifolius,Plantainleaf Buttercup,"S1, Red, E",Uplands park-Oak bay park ,"48.44082, -123.2991783333",
10-May,Contopus cooperi,Olive-sided flycatcher ," S4B, SC, blue",Rocky Point,N/A,Five
10-May,Hirundo rustica,Barn swallow,S4B,Rocky Point,N/A,One
14-May,Neoclytus conjunctus,Western ash borer,"S1S3, N1N3",Kindwood,"48.5113916667, -123.497275",Multiple adults performing behaviour on fallen  Arbutus log
04-Jun,Contopus cooperi,Olive-sided flycatcher ," S4B, SC, blue",Yates property  ,N/A,"Heard the fly-catch song several times (June 3,4 & 7) however didn't see them; no coordinates were recorded "
20-Jun,Contopus cooperi,Olive-sided flycatcher ," S4B, SC, blue",Oakhaven ,N/A,Heard the fly-catch song several times (June 5-6 & 20-21)) however didn't see them; no coordinates were recorded 
26-Jun,Juniperis maritima,Seaside Juniper,"S4S5, Yellow",ITC covenant-Pender Island ,"48.73682, -123.23254",Shrub found on a private property covenant  
01-Jul,Patagioenus fasciata,Band-tailed pigeon,"S3S4, SC, blue",Camas Hill,N/A,One
01-Jul,Contopus cooperi,Olive-sided flycatcher ," S4B, SC, blue",Camas Hill,N/A,One
01-Jul,Hirundo rustica,Barn swallow,S4B,Camas Hill,N/A,Two
03-Jul,Patagioenus fasciata,Band-tailed pigeon,"S3S4, SC, blue",Camas Hill,N/A,Seven individuals
03-Jul,Hirundo rustica,Barn swallow,S4B,Camas Hill,N/A,Seven individuals
08-Jul,Contopus cooperi,Olive-sided flycatcher ," S4B, SC, blue",Maple Mountain ,N/A,Two individuals
12-Jul,Patagioenus fasciata,Band-tailed pigeon,"S3S4, SC, blue",Maple Mountain ,N/A,Two individuals
12-Jul,Contopus cooperi,Olive-sided flycatcher ," S4B, SC, blue",Maple Mountain ,N/A,Two individuals
15-Jul,Progne subis,Purple martin,"S3S4B, blue",Little D'Arcy,N/A,Two
20-Aug,Hirundo rustica,Barn swallow,S4B,Reginald Hill,N/A,Seven individuals
29-Aug,Balsamorhiza deltoidea,deltoid balsamroot,"S2, E, Red",Goldstream park ,"48.468, -123.543 ",There was a few different patches at the two sites we worked on at Goldstream park.Goldestream has the CRD's largest population of Balsamroot 
04-Sep,Patagioenus fasciata,Band-tailed pigeon,"S3S4, SC, blue",CGOP,N/A,"Five individuals, flyover"
10-Oct,Contopus cooperi,Olive-sided flycatcher ," S4B, SC, blue",Matson Conservation Area,"48.428, -123.394",Hannah saw one individual 
09-Oct,Biden amplissima,Beggarticks ,"S3, blue ",_IKEL,N/A,Dense field of Biden in wetland area 
24-Oct,Epilobium densiflorum,Dense spike primrose,,Rocky point,,Few remaining in vernal pools in meadow
25-Oct,Juniperis maritima,Seaside Juniper,"S4S5, Yellow",Maplebank,N/A,1 individual on the coast
23-Oct,Patagioenus fasciata,Band-tailed pigeon,"S3S4, SC, blue",Rocky Point,N/A,
