Date ,Site ,Partner,Notes,SAR to look out for,Add Notes,#,Org,Site,Days Allocated,Days Scheduled,Time Frame,
01-May,,,,,,1,HAT,Camas Hill,4,4,,
02-May,,,,,,2,HAT ,Oak Haven Park,5,5,,
03-May,,,,,,3,HAT ,Matson Conservation Area,5,10,,
04-May,,,,,,4,HAT ,Havenwood,3,1,,
06-May,,,,,,5,HAT ,Purple Sanicle,2,7,,
07-May,,,,,,,HAT ,Good Neighbours,5,5,,
08-May,,,,,,6,ITC ,Medicine Beach (Pender Island),3,3,,Cash
09-May,,,,,,7,ITC,Goldenback Fern,2,2,,Cash
10-May,Rocky Point,Department of Defence,with James Miskelley,,,8,ITC ,Mt Tuam,4,4,,Cash
11-May,,,,,,9,ITC ,Little D'Arcy,1,1,,Cash
12-May,,,,,,10,ITC ,Vanilla Leaf,0,0,,Cash
13-May,Kindwood,Nature Conservancy of Canada,,,,11,NCC,Lohbrunner,1,1,Focus on broom first,Cash
14-May,Kindwood,Nature Conservancy of Canada,,,,12,NCC,Kindwood,5,5,,Cash
15-May,Kindwood,Nature Conservancy of Canada,,,,13,NCC,Chase Woods,5,5,,Cash
16-May,Goldenback Fern,Islands Trust Council,Saltspring Day Trip with Jemma 9:00am ferry - 8:00 terminal,,,14,NCC,CGOP,4,4,,Cash
17-May,Goldenback Fern,Islands Trust Council,Saltspring Day Trip with Jemma,,,15,NCC,Reginald Hill (Salt Spring),5,5,,Cash
18-May,,,,,,16,NCC,Raymond Goodall (Salt Spring),0,0,,Cash
19-May,,,,,,,NCC,Flex Days,3,3,,Cash
20-May,VICTORIA DAY STAT,,,,,17,Wylie (Oak Bay),Oak Bay Parks,7,7,anytime,In-kind
21-May,Yates,Morgan and Carol Yates,Morning Site Orientation with Morgan,,,18,Wylie (Oak Bay),Oak Bay - Mary Tod Island,0,0,late summer,In-kind
22-May,S_ID_E_,PEPAKEN HAUTW,,,,19,Wylie (Nanaimo),Harewood Plains,2,2,late summer,In-kind
23-May,Yates,Morgan and Carol Yates,,,,20,Wylie (Cowichan),Maple Mountain,5,5,anytime after may,In-kind
24-May,Saanich Parks,Saanich Parks,,,,21,Wylie (BC Parks),Goldstream Park,2,2,late summer,In-kind
25-May,,,,,,22,PEPAKEN HAUTW,S_ID_E_,5,7,,In-kind
26-May,,,,,,23,Sarah Jim,W_Sêü_EM Ivy Project,6,6,,In-kind
