Partner,Site,Area of Invasive Weed Control - ha,HAT corrected areas - ha,Number of Days,Number of SAR,Species at Risk on Site
BC Parks,Goldstream Park ,4.4,0.5,2,8,"Banded Cord-moss (SC)
Batwing Vinyl (E)
Deltoid Balsamroot (E)
Fern-leafed Desert-parsley (red)
Long-bristled Frillwort (blue)
Propertius Duskywing (red)
Texas Balloonwort (blue)
Orobus-seed Liverwort (blue)"
BC Parks,"Bellhouse Park, Galliano ",0.15,0.15,5,0,unknown
District of North Cowichan,"Maple Mountain Priority Site, Cowichan",53.6,2.5,5,10,"Rigid Apple-moss (E)
Banded Cord-moss (SC)
Batwing Vinyl (E)
Peacock Vinyl (SC)
White-top Aster(SC)
Small-flowered Tonella (E)
Western Screech-owl (T)
Phymatoceros bulbiculosus (red)
Common Wood-nymph, incana ssp (red)
Propertius Duskywing (red)"
District of Oak Bay,Natural Areas Parks,38.8,2.5,5,23,"Banded Cord-moss (SC)
Bear’s-foot Sanicle (T)
Bearded Owl-clover (E)
Coast Microseris (E)
Dense Spike-primrose (E)
Foothill Sedge (E)
Kellogg’s Rush (E)
Macoun’s Meadowfoam (T)
Muhlenberg’s Centaury (E)
Purple Sanicle (T)
Tall Woolly-heads (E)
Twisted Oak Moss (SC)
Victoria’s Owl-clover (E)
Water-plantain Buttercup €
Western Bumblebee (T)
White-top Aster (SC)
Yellow Montane Violet (E)
Bigleaf Lupine (red)
Black Knotweed (blue)
Erect Pygmyweed (red)
Graceful Cinquefoil (red)
Poverty Clover (blue)
Yellow Sand-verbena (blue)"
The Nature Trust,Mount Maxwell Ecological Reserve, ,1,2,10,"Banded Cord-moss (SC)
Batwing Vinyl (E)
Common Nighthawk (T)
Gray’s Desert-parsley (T)
Little Brown Myotis (E)
Olive-sided Flycatcher (T)
Rigid Apple Moss (E)
Threaded Vertigo (SC)
Twisted Oak Moss (SC)
Yellow Montane Violet €"
City of Nanaimo,Harewood Plains,12.3,1,2,10,"Bog bird's-foot lotus
dense spike-primrose
foothill sedge
Hermans's dwarf rush
Nutall's Quillwort
Chaffweed
Pointed broom sedge
Slimleaf onion
Green-sheath sedge
Howell's violet"
Nature Conservancy of Canada,"Chase Woods Nature Preserve – 1517 Khenipsen Rd, Duncan BC V9L 5L4",2.21,2.21,10,15,"1. slimleaf onion (Allium amplectens) –  S3, blue
2. great blue heron, fannini subspecies (Ardea herodias fannini) – S3B, S4N, SC, blue
3. Vancouver Island Beggarticks (Bidens amplissima) – S3, SC, blue
4. Moss’ Elfin (Callophrys mossii mossii) – S2, red
5. farewell-to-spring (Clarkia amoena) – S3S4, yellow
6. olive-sided flycatcher (Contopus cooperi) – S4B, SC, yellow
7 Propertius duskywing (Erynnis propertius) – S2, red
8. band-tailed pigeon (Patagioenas fasciata) – S3S4, SC, blue
9. purple martin (Progne subis) – S3S4B, blue
10. Blue-grey Taildropper (Prophysaon coeruleum) – S2S3, T, blue
11. Douglas-fir / arbutus (Pseudotsuga menziesii / Arbutus menziesii) – S2, N/A, red
12. Douglas-fir / dull Oregon-grape (Pseudotsuga menziesii / Mahonia nervosa) – S1, N/A, red
13. Garry oak / California brome (Quercus garryana / Bromus carinatus) – S1, red
14. northern red-legged frog (Rana aurora) - S3, SC, blue
15. California-tea (Rupertia physodes) – S3S4, yellow"
Nature Conservancy of Canada,"Cowichan Garry Oak Preserve - 1241 Maple Bay Rd, Duncan BC V9L 5R9",1.39,1.39,10,18,"1. deltoid balsamroot (Balsamorhiza deltoidea) – S2, E, red
2. common wood-nymph, incana subspecies (Cercyonis pegala incana) – S2?, red
3. evening grosbeak (Coccothraustes vespertinus) – S5, SC, yellow
4. olive-sided flycatcher (Contopus cooperi) – S4B, SC, yellow
5. Stellar’s jay, carlottae subspecies (Cyanocitta stelleri carlottae) – S3, blue
6. Propertius duskywing (Erynnis propertius) – S2, red
7. threaded vertigo (Nearctula sp. 1) – S3, SC, blue
8. band-tailed pigeon (Patagioenas fasciata) – S3S4, SC, blue
9. purple martin (Progne subis) – S3S4B, blue
10. tall woolly-heads (Psilocarphus elatior) – S2, E, red
11. Garry oak / California brome (Quercus garryana / Bromus carinatus) – S1, red
12. white-top aster (Sericocarpus rigidus) – S3, SC, blue
13. Western bluebird (Sialia mexicana) – S4, yellow (locally extinct/extirpated from Vancouver Island for decades)
14. Zerene fritillary, bremnerii subspecies (Speyeria zerene bremnerii) – S2, red
15. Twisted oak moss (Syntrichia laevipila) – SU, SC, unknown
16. Howell’s triteleia (Triteleia howellii) – S1, E, red
17. barn owl (Tyto alba) – S3, T, blue
18. yellow montane Viola praemorsa subspecies (Viola praemorsa ssp. Praemorsa) – S1, E, red"
Nature Conservancy of Canada,Kindwood – Munn Rd. (approx. 5578 Munn Rd),2.57,2.57,5,3,"1. deltoid balsamroot (Balsamorhiza deltoidea) – S2, E, red
2. common wood-nymph, incana subspecies (Cercyonis pegala incana) – S2?, red
3. evening grosbeak (Coccothraustes vespertinus) – S5, SC, yellow
4. olive-sided flycatcher (Contopus cooperi) – S4B, SC, yellow
5. Stellar’s jay, carlottae subspecies (Cyanocitta stelleri carlottae) – S3, blue
6. Propertius duskywing (Erynnis propertius) – S2, red
7. threaded vertigo (Nearctula sp. 1) – S3, SC, blue
8. band-tailed pigeon (Patagioenas fasciata) – S3S4, SC, blue
9. purple martin (Progne subis) – S3S4B, blue
10. tall woolly-heads (Psilocarphus elatior) – S2, E, red
11. Garry oak / California brome (Quercus garryana / Bromus carinatus) – S1, red
12. white-top aster (Sericocarpus rigidus) – S3, SC, blue
13. Western bluebird (Sialia mexicana) – S4, yellow (locally extinct/extirpated from Vancouver Island for decades)
14. Zerene fritillary, bremnerii subspecies (Speyeria zerene bremnerii) – S2, red
15. Twisted oak moss (Syntrichia laevipila) – SU, SC, unknown
16. Howell’s triteleia (Triteleia howellii) – S1, E, red
17. barn owl (Tyto alba) – S3, T, blue
18. yellow montane Viola praemorsa subspecies (Viola praemorsa ssp. Praemorsa) – S1, E, red"
Nature Conservancy of Canada,"Lohbrunner Woods – 1152 Lippincott Rd, Victoria BC, V9C 2Z6",0.95,0.95,2,1,"1. deltoid balsamroot (Balsamorhiza deltoidea) – S2, E, red
2. common wood-nymph, incana subspecies (Cercyonis pegala incana) – S2?, red
3. evening grosbeak (Coccothraustes vespertinus) – S5, SC, yellow
4. olive-sided flycatcher (Contopus cooperi) – S4B, SC, yellow
5. Stellar’s jay, carlottae subspecies (Cyanocitta stelleri carlottae) – S3, blue
6. Propertius duskywing (Erynnis propertius) – S2, red
7. threaded vertigo (Nearctula sp. 1) – S3, SC, blue
8. band-tailed pigeon (Patagioenas fasciata) – S3S4, SC, blue
9. purple martin (Progne subis) – S3S4B, blue
10. tall woolly-heads (Psilocarphus elatior) – S2, E, red
11. Garry oak / California brome (Quercus garryana / Bromus carinatus) – S1, red
12. white-top aster (Sericocarpus rigidus) – S3, SC, blue
13. Western bluebird (Sialia mexicana) – S4, yellow (locally extinct/extirpated from Vancouver Island for decades)
14. Zerene fritillary, bremnerii subspecies (Speyeria zerene bremnerii) – S2, red
15. Twisted oak moss (Syntrichia laevipila) – SU, SC, unknown
16. Howell’s triteleia (Triteleia howellii) – S1, E, red
17. barn owl (Tyto alba) – S3, T, blue
18. yellow montane Viola praemorsa subspecies (Viola praemorsa ssp. Praemorsa) – S1, E, red"
