Date,Event,Partner,Volunteers,Volunteer Hours,Notes
2024-04-21,Earth Day Restoration at Oak Haven Park,Central Saanich,21,84,
2023-12-01,lekwungen Community Toolshed Maplebank,Cheryl Bryce,40,120,
2024-04-27,lekwungen Community Toolshed Maplebank,Cheryl Bryce,25,75,
2024-06-09,lekwungen Community Toolshed Maplebank,Cheryl Bryce,50,150,
2024-08-16,lekwungen Community Toolshed Maplebank,Cheryl Bryce,25,75,
2024-09-22,lekwungen Community Toolshed Maplebank,Cheryl Bryce,42,126,
2024-10-25,lekwungen Community Toolshed Maplebank,Cheryl Bryce,28,84,
2024-11-15,lekwungen Community Toolshed Maplebank,Cheryl Bryce,0,0,
2024-03-27,SNIDCEL Resiliency Project,PEPAKEN HAUTW,20,80,
2024-05-22,SNIDCEL Resiliency Project,PEPAKEN HAUTW,22,88,
2024-06-19,SNIDCEL Resiliency Project,PEPAKEN HAUTW,11,44,
2024-07-17,SNIDCEL Resiliency Project,PEPAKEN HAUTW,17,68,
2024-08-14,SNIDCEL Resiliency Project,PEPAKEN HAUTW,15,60,
2024-09-17,SNIDCEL Resiliency Project,PEPAKEN HAUTW,8,32,
2024-10-15,SNIDCEL Resiliency Project,PEPAKEN HAUTW,9,36,
2024-11-19,SNIDCEL Resiliency Project,PEPAKEN HAUTW,0,0,
2023-11-10,"WSI,KEM Ivy Project",Sarah Jim,41,164,
2023-02-21,"WSI,KEM Ivy Project",Sarah Jim,35,140,with Leigh Joseph
2024-03-30,"WSI,KEM Ivy Project",Sarah Jim,25,100,with Special Bird Service
2024-04-26,"WSI,KEM Ivy Project",Sarah Jim,39,156,
2024-05-31,"WSI,KEM Ivy Project",Sarah Jim,49,196,
2024-06-14,"WSI,KEM Ivy Project",Sarah Jim,29,116,
2024-07-26,"WSI,KEM Ivy Project",Sarah Jim,32,128,
2024-08-30,"WSI,KEM Ivy Project",Sarah Jim,38,152,
2024-09-27,"WSI,KEM Ivy Project",Sarah Jim,47,188,
2024-10-26,"WSI,KEM Ivy Project",Sarah Jim,36,144,
2024-11-30,"WSI,KEM Ivy Project",Sarah Jim,0,0,
