"SortID","MonitorID","QUniqueID","Date","Year","Location","Treated","YearTreated","ExSpTabTitle","Baseline","Quadrat","QuadratLocation_m","Species","Native_or_Invasive","PercentCover","OriginalSpecies"
4,"T-DL","T-DL_Q1_4.3",2025-04-02,2025,"Oak Haven","Treated",2024,"2025 Oak Haven Treated #1",1,"Q1",4.3,"herb robert geranium","Invasive",4,"herb robert geranium"
17,"T-DL","T-DL_Q2_3.3",2025-04-02,2025,"Oak Haven","Treated",2024,"2025 Oak Haven Treated #1",1,"Q2",3.3,"herb robert geranium","Invasive",9,"herb robert geranium"
55,"U-CH","U-CH_Q1_9",2025-04-03,2029,"Oak Haven","Untreated",NA,"2025 Oak Haven Untreated #2",2,"Q1",9,"mixed grass","MixedGrass",90,"mixed grass"
59,"U-CH","U-CH_Q2_13.3",2025-04-03,2029,"Oak Haven","Untreated",NA,"2025 Oak Haven Untreated #2",2,"Q2",13.3,"mixed grass","MixedGrass",81,"mixed grass"
10,"T-DL","T-DL_Q1_4.3",2025-04-02,2025,"Oak Haven","Treated",2024,"2025 Oak Haven Treated #1",1,"Q1",4.3,"mixed grass","MixedGrass",25,"mixed invasive grasses"
19,"T-DL","T-DL_Q2_3.3",2025-04-02,2025,"Oak Haven","Treated",2024,"2025 Oak Haven Treated #1",1,"Q2",3.3,"mixed grass","MixedGrass",32,"mixed invasive grasses"
24,"T-DL","T-DL_Q3_8.3",2025-04-02,2025,"Oak Haven","Treated",2024,"2025 Oak Haven Treated #1",1,"Q3",8.3,"mixed grass","MixedGrass",20,"mixed invasive grasses"
32,"U-DL","U-DL_Q1_9",2025-04-03,2025,"Oak Haven","Untreated",NA,"2025 Oak Haven UnTreated #1",1,"Q1",9,"mixed grass","MixedGrass",50,"mixed invasive grasses"
40,"U-DL","U-DL_Q2_13.3",2025-04-03,2025,"Oak Haven","Untreated",NA,"2025 Oak Haven UnTreated #1",1,"Q2",13.3,"mixed grass","MixedGrass",62,"mixed invasive grasses"
48,"U-DL","U-DL_Q3_2.6",2025-04-03,2025,"Oak Haven","Untreated",NA,"2025 Oak Haven UnTreated #1",1,"Q3",2.6,"mixed grass","MixedGrass",53,"mixed invasive grasses"
22,"T-DL","T-DL_Q3_8.3",2025-04-02,2025,"Oak Haven","Treated",2024,"2025 Oak Haven Treated #1",1,"Q3",8.3,"Scotch broom","Invasive",1,"Scotch broom"
36,"U-DL","U-DL_Q1_9",2025-04-03,2025,"Oak Haven","Untreated",NA,"2025 Oak Haven UnTreated #1",1,"Q1",9,"Scotch broom","Invasive",5,"Scotch broom"
60,"U-CH","U-CH_Q2_13.3",2025-04-03,2029,"Oak Haven","Untreated",NA,"2025 Oak Haven Untreated #2",2,"Q2",13.3,"Scotch broom","Invasive",2,"Scotch broom"
81,"T-CH","T-CH_Q3_8.3",2025-04-02,2025,"Oak Haven","Treated",2024,"2025 Oak Haven Treated #2",1,"Q3",8.3,"Scotch broom","Invasive",3,"Scotch broom"
5,"T-DL","T-DL_Q1_4.3",2025-04-02,2025,"Oak Haven","Treated",2024,"2025 Oak Haven Treated #1",1,"Q1",4.3,"shiny geranium","Invasive",10,"shiny geranium"
16,"T-DL","T-DL_Q2_3.3",2025-04-02,2025,"Oak Haven","Treated",2024,"2025 Oak Haven Treated #1",1,"Q2",3.3,"shiny geranium","Invasive",20,"shiny geranium"
23,"T-DL","T-DL_Q3_8.3",2025-04-02,2025,"Oak Haven","Treated",2024,"2025 Oak Haven Treated #1",1,"Q3",8.3,"shiny geranium","Invasive",35,"shiny geranium"
71,"T-CH","T-CH_Q1_4.3",2025-04-02,2025,"Oak Haven","Treated",2024,"2025 Oak Haven Treated #2",1,"Q1",4.3,"shiny geranium","Invasive",8,"shiny geranium"
77,"T-CH","T-CH_Q2_3.3",2025-04-02,2025,"Oak Haven","Treated",2024,"2025 Oak Haven Treated #2",1,"Q2",3.3,"shiny geranium","Invasive",10,"shiny geranium"
84,"T-CH","T-CH_Q3_8.3",2025-04-02,2025,"Oak Haven","Treated",2024,"2025 Oak Haven Treated #2",1,"Q3",8.3,"shiny geranium","Invasive",12,"shiny geranium"
