"Subregion","Site","Land_Manager","Main_Restoration_Type","Restoration_Intensity","Area_ha","Lat","Lng","Proportion_of_native_species","Cultural_species_richness","Exotic_species","Trampling","Herbivory","Composite_Index","Year","Percentage_ns"
"Gulf Islands","Anniversary Island","GINPR","herbivore reduction","high",4.39,48.82291937,-123.1823297,0.99,3.23,3.7,3.66,2.18,1.81,2024,99
"Gulf Islands","AVNR","Saltspring conservancy","herbivore reduction","minimal",20.54,48.80351391,-123.4425083,0.48,1.26,57.99,4.26,37.7,0.71,2024,48
"Saanich Peninsula","Bear Hill Park","CRD","invasive removal","low",3.8,48.54638676,-123.4077754,0.67,2.37,21.67,8.14,7.88,0.88,2024,67
"Gulf Islands","Brackman Island","GINPR","invasive removal","high",4.41,48.71896669,-123.3863804,0.87,2.96,5.96,4.1,1.22,1.8,2024,87
"Saanich Peninsula","Camas Hill","HAT","invasive removal","high",10.1,48.40173201,-123.5974587,0.62,2.21,28.39,6.35,6.67,1.51,2024,62
"Gulf Islands","Crows Nest","Trinity Western University","herbivore reduction","high",15.34,48.78236526,-123.4612467,0.65,0.95,38.88,1.17,27.39,1.01,2024,65
"Gulf Islands","Dock Islet N ","GINPR","herbivore reduction","high",0.54,48.67172621,-123.3577287,0.74,3.59,3.6,12.48,1.45,1.78,2024,74
"Gulf Islands","Eagle Islet","GINPR","herbivore reduction","high",1.34,48.63573836,-123.32935,0.47,0.42,26.18,17.28,0.09,0.75,2024,47
"Saanich Peninsula","Gonzales Hill Park","CRD","invasive removal","low",1.16,48.41447664,-123.323699,0.27,0.91,76.3,10.2,2.31,0.47,2024,27
"Saanich Peninsula","Gore Park","Central Saanich","invasive removal","moderate",0.74,48.46093,-123.33328,0.81,4.44,3.98,5.87,1.33,1.6,2024,81
"Saanich Peninsula","Highrock Park","City of Esquimalt","invasive removal","low",2.88,48.43449,-123.4066,0.44,1.53,38.37,7.04,1.18,0.97,2024,44
"Saanich Peninsula","Mill Hill Park","CRD","invasive removal","high",16.66,48.457728,-123.479491,0.38,1.43,43.76,13.5,28.16,0.34,2024,38
"Gulf Islands","Mt Maxwell","BC Parks","herbivore reduction","moderate",35.84,48.80992011,-123.5227678,0.44,0.06,71.43,11.29,6.08,0.22,2024,44
"Saanich Peninsula","Oak Haven Park","CRD","invasive removal","high",3.16,48.56418627,-123.4470656,0.47,1.16,37.04,2.13,12.88,1.05,2024,47
"Gulf Islands","Owl Islet","GINPR","none known","minimal",1.49,48.82656136,-123.4005566,0.58,2.18,17.54,11.55,1.93,1.38,2024,58
"Gulf Islands","Reay Islet","GINPR","herbivore reduction","high",1.97,48.68334587,-123.3293175,0.52,3.93,10.75,10.7,7.39,1.05,2024,52
"Gulf Islands","Retreat Island","Galiano Conservancy","none known","minimal",1.11,48.9403368,-123.5041681,0.56,2.34,27.36,33.22,0.46,1.11,2024,56
"Gulf Islands","Rum Islet","GINPR","none known","minimal",1.44,48.66274423,-123.2781064,0.45,0.66,72.7,21.44,71.88,0.16,2024,45
"Saanich Peninsula","Scafe Hill","CRD","invasive removal","low",3.36,48.49351846,-123.486898,0.3,1.26,53.85,10.97,3.23,0.45,2024,30
"Saanich Peninsula","Seymour Hill","CRD","invasive removal","low",3.22,48.46762957,-123.4659684,0.33,2.37,59.38,9.62,1.17,0.68,2024,33
"Gulf Islands","SISCENEM","WSANEC","none known","minimal",3.83,48.62042965,-123.2731841,0.66,3.36,19.31,10.93,0.69,1.79,2024,66
"Saanich Peninsula","Stewart Hill","CRD","invasive removal","low",3.46,48.49664244,-123.4913375,0.45,1.36,82.02,3.32,0.1,0.44,2024,45
"Saanich Peninsula","Trial Island",NA,"invasive removal","high",11.58,48.39652597,-123.3058486,0.51,3.54,27.54,1.78,0.55,1.61,2024,51
"Saanich Peninsula","Uplands Park","District of Oak Bay","invasive removal","high",20.03,48.43912056,-123.2953267,0.34,1.47,50.22,1.79,5.35,1.02,2024,34
